;CRYSTAL PALACE AND WROTHAM MASTS
MASTS N051.16.14.999 E000.17.13.999 N051.16.17.730 E000.18.03.960
MASTS N051.16.25.843 E000.15.35.592 N051.16.17.730 E000.16.24.039
MASTS N051.16.25.843 E000.18.52.407 N051.16.39.090 E000.19.37.873
MASTS N051.16.57.070 E000.14.09.019 N051.16.39.090 E000.14.50.126
MASTS N051.16.57.070 E000.20.18.980 N051.17.19.240 E000.20.54.480
MASTS N051.17.44.925 E000.13.04.703 N051.17.19.240 E000.13.33.518
MASTS N051.17.44.925 E000.21.23.295 N051.18.13.349 E000.21.44.548
MASTS N051.18.43.647 E000.12.30.410 N051.18.13.349 E000.12.43.451
MASTS N051.18.43.647 E000.21.57.589 N051.19.14.901 E000.22.02.018
MASTS N051.19.46.160 E000.12.30.302 N051.19.14.901 E000.12.25.980
MASTS N051.19.46.160 E000.21.57.696 N051.20.16.476 E000.21.44.749
MASTS N051.20.44.925 E000.13.04.431 N051.20.16.476 E000.12.43.249
MASTS N051.20.44.925 E000.21.23.567 N051.21.10.643 E000.20.54.789
MASTS N051.21.32.846 E000.14.08.709 N051.21.10.643 E000.13.33.209
MASTS N051.21.32.846 E000.20.19.289 N051.21.50.859 E000.19.38.145
MASTS N051.22.04.132 E000.15.35.390 N051.21.50.859 E000.14.49.854
MASTS N051.22.04.132 E000.18.52.609 N051.22.12.261 E000.18.04.067
MASTS N051.22.14.999 E000.17.13.999 N051.22.12.261 E000.16.23.931
MASTS N051.21.56.998 W000.04.30.000 N051.22.00.184 W000.03.31.592
MASTS N051.22.09.646 W000.02.34.952 N051.22.25.099 W000.01.41.795
MASTS N051.22.09.646 W000.06.25.048 N051.22.00.184 W000.05.28.408
MASTS N051.22.46.073 W000.00.53.733 N051.23.11.934 W000.00.12.222
MASTS N051.22.46.073 W000.08.06.267 N051.22.25.099 W000.07.18.205
MASTS N051.23.41.897 E000.00.21.475 N051.24.15.055 E000.00.46.333
MASTS N051.23.41.897 W000.09.21.475 N051.23.11.934 W000.08.47.778
MASTS N051.24.50.402 E000.01.01.591 N051.25.26.864 E000.01.06.781
MASTS N051.24.50.402 W000.10.01.591 N051.24.15.055 W000.09.46.333
MASTS N051.26.03.334 E000.01.01.738 N051.26.38.703 E000.00.46.609
MASTS N051.26.03.334 W000.10.01.738 N051.25.26.864 W000.10.06.781
MASTS N051.27.11.897 E000.00.21.847 N051.27.41.904 W000.00.11.799
MASTS N051.27.11.897 W000.09.21.847 N051.26.38.703 W000.09.46.609
MASTS N051.28.07.811 W000.00.53.309 N051.28.28.829 W000.01.41.423
MASTS N051.28.07.811 W000.08.06.691 N051.27.41.904 W000.08.48.201
MASTS N051.28.44.317 W000.02.34.676 N051.28.53.803 W000.03.31.445
MASTS N051.28.44.317 W000.06.25.324 N051.28.28.829 W000.07.18.577
MASTS N051.28.56.998 W000.04.30.000 N051.28.53.803 W000.05.28.555
